latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-28.369,150.52,319.4,1.1,1.1,2019-04-05,0000,T,69,6.0NRT,302.3,11.1,D
-28.765,151.005,328.1,1.1,1,2019-04-05,0000,T,81,6.0NRT,301.8,20.7,D
-28.491,149.204,315.5,1.3,1.1,2019-04-05,0000,T,48,6.0NRT,301.5,7,D
-29.178,150.267,317.7,1.1,1.1,2019-04-05,0000,T,62,6.0NRT,302.3,6.9,D
-30.33,152.231,308.8,1,1,2019-04-05,0000,T,41,6.0NRT,293,6.7,D
-30.332,152.241,316.7,1,1,2019-04-05,0000,T,73,6.0NRT,292.6,13.1,D
-30.545,151.171,313.7,1,1,2019-04-05,0000,T,34,6.0NRT,295.6,5.9,D
-30.207,147.508,327,1.6,1.2,2019-04-05,0000,T,78,6.0NRT,301.1,29.9,D
-30.207,147.502,322.8,1.6,1.2,2019-04-05,0000,T,73,6.0NRT,301,22.6,D
-30.21,147.518,317.9,1.5,1.2,2019-04-05,0000,T,64,6.0NRT,300.8,13.7,D
-31.483,150.23,315.6,1.1,1,2019-04-05,0000,T,62,6.0NRT,297.6,7.9,D
-31.485,150.241,315.5,1.1,1,2019-04-05,0000,T,56,6.0NRT,297.6,7.8,D
-32.1,147.843,321.7,1.4,1.2,2019-04-05,0000,T,74,6.0NRT,298.8,17.8,D
-32.103,147.858,314,1.4,1.2,2019-04-05,0000,T,60,6.0NRT,298.3,6.9,D
-32.143,146.277,325.2,1.7,1.3,2019-04-05,0000,T,78,6.0NRT,298.3,39.7,D
-32.147,146.294,311.4,1.7,1.3,2019-04-05,0000,T,36,6.0NRT,297.6,12.4,D
-32.468,147.117,317.4,1.5,1.2,2019-04-05,0000,T,68,6.0NRT,298.2,13.3,D
-32.707,147.042,320.4,1.5,1.2,2019-04-05,0000,T,72,6.0NRT,298.2,17.9,D
-32.71,147.058,315.6,1.5,1.2,2019-04-05,0000,T,64,6.0NRT,298.2,10.2,D
-32.712,147.051,323.5,1.5,1.2,2019-04-05,0000,T,76,6.0NRT,298.5,22.5,D
-32.976,146.435,315.1,1.6,1.2,2019-04-05,0000,T,60,6.0NRT,296.7,13.3,D
-32.979,146.451,329.1,1.6,1.2,2019-04-05,0000,T,81,6.0NRT,298.5,42.1,D
-32.978,146.446,332.4,1.6,1.2,2019-04-05,0000,T,84,6.0NRT,298.6,50.6,D
-33.899,149.693,305,1.1,1,2019-04-05,0000,T,41,6.0NRT,288.8,4.9,D
-34.456,150.882,315.2,1,1,2019-04-05,0000,T,46,6.0NRT,293.9,10.1,D
-34.797,148.655,310.4,1.1,1.1,2019-04-05,0000,T,60,6.0NRT,295.4,6.8,D
-35.631,147.999,356.1,1.2,1.1,2019-04-05,0000,T,98,6.0NRT,292.6,97.5,D
-35.633,148.012,304.1,1.2,1.1,2019-04-05,0000,T,34,6.0NRT,291,7,D
-35.358,146.313,316.3,1.4,1.2,2019-04-05,0000,T,69,6.0NRT,296.5,13.4,D
-35.49,145.426,334,1.6,1.2,2019-04-05,0000,T,86,6.0NRT,297.9,55.4,D
-42.786,146.617,307.8,1.1,1,2019-04-05,0000,T,66,6.0NRT,286.1,11.6,D
-42.978,147.094,302.1,1,1,2019-04-05,0000,T,51,6.0NRT,291.1,4.5,D
-43.188,146.796,321.7,1.1,1,2019-04-05,0000,T,81,6.0NRT,285.1,23.7,D
-9.688,-36.057,313.1,1.8,1.3,2019-04-05,0035,T,86,6.0NRT,291.2,24.6,N
-9.674,-36.042,304.2,1.8,1.3,2019-04-05,0035,T,59,6.0NRT,290.9,10.2,N
-9.676,-36.058,317.7,1.8,1.3,2019-04-05,0035,T,96,6.0NRT,291.1,33.9,N
55.03,21.49,305,2.7,1.6,2019-04-05,0005,A,61,6.0NRT,273.3,44.5,N
55.025,21.486,304.7,2.7,1.6,2019-04-05,0005,A,61,6.0NRT,273.6,46.7,N
54.632,20.486,301.3,2.9,1.6,2019-04-05,0005,A,40,6.0NRT,274.7,43,N
52.143,26.736,300.3,1.4,1.2,2019-04-05,0005,A,23,6.0NRT,269.7,15.9,N
51.211,31.63,353.8,1,1,2019-04-05,0005,A,100,6.0NRT,269.7,78.7,N
51.209,31.645,317.6,1,1,2019-04-05,0005,A,95,6.0NRT,268.3,22.4,N
48.488,34.973,300.5,1.1,1.1,2019-04-05,0005,A,9,6.0NRT,275.5,9.7,N
47.865,33.447,307.2,1.1,1,2019-04-05,0005,A,71,6.0NRT,271,14.1,N
47.865,33.389,306.9,1.1,1,2019-04-05,0005,A,70,6.0NRT,275.2,13.5,N
47.858,33.43,323.1,1.1,1,2019-04-05,0005,A,97,6.0NRT,275.1,27.3,N
46.788,29.225,308.9,1,1,2019-04-05,0005,A,76,6.0NRT,271.9,15.4,N
46.709,17.558,303.7,3.6,1.8,2019-04-05,0005,A,56,6.0NRT,271.2,65.5,N
46.719,17.55,302.7,3.6,1.8,2019-04-05,0005,A,51,6.0NRT,276.5,62.4,N
11.67,29.405,312.1,2.9,1.6,2019-04-05,0015,A,84,6.0NRT,295.6,44,N
12.61,23.767,302.3,1.1,1.1,2019-04-05,0015,A,48,6.0NRT,290.3,6.7,N
11.67,29.398,307.6,2.9,1.6,2019-04-05,0015,A,72,6.0NRT,295.2,30.7,N
11.588,29.519,308.4,3,1.6,2019-04-05,0015,A,74,6.0NRT,295.5,35.2,N
11.587,29.514,309.8,3,1.6,2019-04-05,0015,A,78,6.0NRT,295.3,39.7,N
8.963,27.463,304.2,2.3,1.5,2019-04-05,0015,A,59,6.0NRT,288.3,22.1,N
8.959,27.484,317.8,2.3,1.5,2019-04-05,0015,A,96,6.0NRT,290.5,56.2,N
8.86,20.056,319.9,1,1,2019-04-05,0015,A,99,6.0NRT,294.6,16.7,N
8.859,20.065,317.7,1,1,2019-04-05,0015,A,95,6.0NRT,294.5,14.8,N
27.581,22.411,304.3,1.2,1.1,2019-04-05,0010,A,59,6.0NRT,283.4,10.8,N
-14.054,130.879,318,1,1,2019-04-05,0135,T,0,6.0NRT,294.9,11.8,D
-15.343,126.483,330.8,1.7,1.3,2019-04-05,0135,T,81,6.0NRT,291,37.2,D
-15.517,126.156,327.9,1.8,1.3,2019-04-05,0135,T,54,6.0NRT,294.3,38.1,D
-15.54,126.085,334.3,1.8,1.3,2019-04-05,0135,T,84,6.0NRT,291,59.9,D
-15.543,126.101,326.5,1.8,1.3,2019-04-05,0135,T,58,6.0NRT,293.2,34.5,D
-15.835,125.585,321.5,1.9,1.3,2019-04-05,0135,T,50,6.0NRT,286.6,33.2,D
-15.907,125.788,323.2,1.8,1.3,2019-04-05,0135,T,71,6.0NRT,296.4,26.6,D
-16.648,125.485,321.5,1.9,1.3,2019-04-05,0135,T,57,6.0NRT,299.5,23.3,D
-17.026,127.236,320.8,1.4,1.2,2019-04-05,0135,T,57,6.0NRT,300.2,10.7,D
-17.096,127.231,327.2,1.4,1.2,2019-04-05,0135,T,72,6.0NRT,301.1,19.1,D
-16.531,123.796,320.2,2.5,1.5,2019-04-05,0135,T,71,6.0NRT,284.7,56,D
-17.136,127.276,325.2,1.4,1.2,2019-04-05,0135,T,63,6.0NRT,302.5,13.9,D
-17.138,127.289,325.3,1.4,1.2,2019-04-05,0135,T,64,6.0NRT,302.2,13.9,D
-17.181,127.249,324.5,1.4,1.2,2019-04-05,0135,T,43,6.0NRT,301,12,D
-17.183,127.261,323.1,1.4,1.2,2019-04-05,0135,T,35,6.0NRT,300.2,9.9,D
-17.189,127.234,324.3,1.4,1.2,2019-04-05,0135,T,31,6.0NRT,301.3,12.3,D
