latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
61.886,159.676,325.8,1.5,1.2,2019-04-06,00:15,T,78,6.0NRT,279.3,45.4,D
61.897,159.716,325.7,1.5,1.2,2019-04-06,00:15,T,72,6.0NRT,280.1,44.1,D
61.878,159.68,334.4,1.5,1.2,2019-04-06,00:15,T,86,6.0NRT,280.2,65,D
61.884,159.704,330.9,1.5,1.2,2019-04-06,00:15,T,84,6.0NRT,280.9,56,D
61.924,159.784,313.6,1.5,1.2,2019-04-06,00:15,T,26,6.0NRT,279.6,23.4,D
61.916,159.752,337.1,1.5,1.2,2019-04-06,00:15,T,76,6.0NRT,281.4,68.2,D
61.876,159.672,317,1.5,1.2,2019-04-06,00:15,T,67,6.0NRT,279.4,32.8,D
61.888,159.684,326.7,1.5,1.2,2019-04-06,00:15,T,50,6.0NRT,279.8,45.6,D
61.886,159.712,336,1.5,1.2,2019-04-06,00:15,T,68,6.0NRT,280.7,66.1,D
61.914,159.78,326.3,1.5,1.2,2019-04-06,00:15,T,49,6.0NRT,280.7,43.3,D
61.905,159.748,344,1.5,1.2,2019-04-06,00:15,T,92,6.0NRT,281.2,91.5,D
61.892,159.733,340.7,3.4,1.7,2019-04-06,00:30,A,90,6.0NRT,280.1,276.9,D
61.874,159.68,320.2,3.4,1.7,2019-04-06,00:30,A,55,6.0NRT,278.8,115,D
61.91,159.786,319.9,3.4,1.7,2019-04-06,00:30,A,69,6.0NRT,278.6,114.3,D
-28.068,148.595,319.4,1.9,1.3,2019-04-06,00:40,T,62,6.0NRT,303.2,16.5,D
-28.731,148.105,322.3,1.8,1.3,2019-04-06,00:40,T,64,6.0NRT,306.8,16,D
-31.543,151.776,348.5,3.4,1.7,2019-04-06,00:40,T,95,6.0NRT,288.7,338.4,D
-31.536,151.771,344.5,3.4,1.7,2019-04-06,00:40,T,93,6.0NRT,286.3,296.3,D
-33.099,146.992,320.8,1.7,1.3,2019-04-06,00:40,T,72,6.0NRT,301.8,19.6,D
-32.15,146.279,323.2,1.5,1.2,2019-04-06,00:40,T,70,6.0NRT,303,22.4,D
-32.139,146.281,318.3,1.5,1.2,2019-04-06,00:40,T,33,6.0NRT,304.4,13.9,D
-32.133,146.877,331.1,1.6,1.3,2019-04-06,00:40,T,82,6.0NRT,301.8,41.7,D
-31.539,151.81,312.3,3.4,1.7,2019-04-06,00:40,T,55,6.0NRT,285.7,59.3,D
-31.113,145.854,317.6,1.4,1.2,2019-04-06,00:40,T,33,6.0NRT,304.5,8.8,D
-34.208,142.29,316.1,1,1,2019-04-06,00:40,T,35,6.0NRT,302.5,7.7,D
-31.714,147.215,328.9,1.7,1.3,2019-04-06,00:40,T,79,6.0NRT,304,35.5,D
-32.12,146.861,333.7,1.6,1.3,2019-04-06,00:40,T,84,6.0NRT,304,48.3,D
-32.122,146.879,344.4,1.6,1.3,2019-04-06,00:40,T,92,6.0NRT,303.9,84.3,D
-32.062,146.202,318.9,1.5,1.2,2019-04-06,00:40,T,59,6.0NRT,303,13.3,D
-32.131,146.86,339.4,1.6,1.3,2019-04-06,00:40,T,88,6.0NRT,303.8,65.8,D
-33.349,146.126,331.6,1.5,1.2,2019-04-06,00:40,T,82,6.0NRT,304.4,36.6,D
-33.338,146.127,325,1.5,1.2,2019-04-06,00:40,T,75,6.0NRT,304.6,22.8,D
-33.095,146.986,324.5,1.7,1.3,2019-04-06,00:40,T,77,6.0NRT,301.8,26.8,D
-26.116,150.844,316.9,2.5,1.5,2019-04-06,00:40,T,68,6.0NRT,295.9,40.5,D
-26.121,150.836,313.4,2.5,1.5,2019-04-06,00:40,T,53,6.0NRT,296.4,28.2,D
-26.123,150.862,310.7,2.5,1.5,2019-04-06,00:40,T,26,6.0NRT,296.8,19.5,D
-26.063,149.64,321.1,2.1,1.4,2019-04-06,00:40,T,74,6.0NRT,302.3,32.1,D
-27.115,148.914,323.5,1.9,1.3,2019-04-06,00:40,T,73,6.0NRT,301.7,33.3,D
-31.755,148.878,312.8,2.2,1.4,2019-04-06,00:40,T,42,6.0NRT,297.4,19.5,D
31.666,6.061,301.7,2.9,1.6,2019-04-06,00:55,A,44,6.0NRT,285,34.3,N
12.168,14.081,308.9,1.3,1.1,2019-04-06,01:00,A,76,6.0NRT,289.8,10.5,N
10.915,15.205,310.1,1.7,1.3,2019-04-06,01:00,A,50,6.0NRT,290.5,16.7,N
10.912,15.22,320.1,1.7,1.3,2019-04-06,01:00,A,100,6.0NRT,293.9,34,N
10.901,15.218,321.3,1.7,1.3,2019-04-06,01:00,A,100,6.0NRT,295.5,36.3,N
10.898,15.233,319.5,1.7,1.3,2019-04-06,01:00,A,99,6.0NRT,293.7,32,N
10.887,15.231,305.6,1.7,1.3,2019-04-06,01:00,A,36,6.0NRT,294.5,10.8,N
10.695,14.342,315.3,1.4,1.2,2019-04-06,01:00,A,91,6.0NRT,298.8,17.4,N
6.128,6.02,301.5,1.3,1.1,2019-04-06,01:00,A,31,6.0NRT,278.9,8,N
5.904,5.588,305.4,1.4,1.2,2019-04-06,01:00,A,64,6.0NRT,286.1,9.4,N
