latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-15.54257,27.47887,306.3,0.35,0.57,2019-04-07,00:00,N,nominal,1.0NRT,285.4,1.2,N
-26.33188,28.61444,303.4,0.55,0.68,2019-04-07,00:00,N,nominal,1.0NRT,281.1,0.5,N
-26.31076,27.78825,301.1,0.49,0.65,2019-04-07,00:00,N,nominal,1.0NRT,283.2,1.3,N
-26.18119,25.99561,300.1,0.38,0.58,2019-04-07,00:00,N,nominal,1.0NRT,286.1,0.8,N
-26.54205,29.15881,295.2,0.59,0.7,2019-04-07,00:00,N,nominal,1.0NRT,281.1,1.2,N
-26.54827,29.15204,303.9,0.59,0.7,2019-04-07,00:00,N,nominal,1.0NRT,282.9,1.2,N
-26.80711,27.8581,300.4,0.5,0.65,2019-04-07,00:00,N,nominal,1.0NRT,284.2,1.1,N
-27.56608,25.11471,303.1,0.34,0.56,2019-04-07,00:00,N,nominal,1.0NRT,285,0.3,N
-28.35862,23.50909,318.4,0.56,0.51,2019-04-07,00:00,N,nominal,1.0NRT,279.6,3.3,N
-28.39898,21.49267,319,0.43,0.46,2019-04-07,00:00,N,nominal,1.0NRT,282.4,2,N
-25.48795,27.10361,297.7,0.43,0.62,2019-04-07,00:00,N,nominal,1.0NRT,285.5,0.7,N
-24.81631,30.12036,306.9,0.65,0.73,2019-04-07,00:00,N,nominal,1.0NRT,283.7,1.5,N
-23.17072,18.52444,309.9,0.41,0.37,2019-04-07,00:00,N,nominal,1.0NRT,287.7,0.1,N
-23.10535,18.53548,300.6,0.41,0.37,2019-04-07,00:00,N,nominal,1.0NRT,286.9,0,N
-23.96559,29.50344,296.1,0.59,0.7,2019-04-07,00:00,N,nominal,1.0NRT,283.3,2,N
-21.71034,26.10126,306.6,0.34,0.56,2019-04-07,00:00,N,nominal,1.0NRT,288.5,0,N
-19.13594,22.35692,298.9,0.56,0.43,2019-04-07,00:00,N,nominal,1.0NRT,288.1,1.1,N
-19.1299,22.34155,300.6,0.55,0.43,2019-04-07,00:00,N,nominal,1.0NRT,289.1,1.3,N
-18.90851,22.47508,300.3,0.56,0.43,2019-04-07,00:00,N,nominal,1.0NRT,287.5,0.7,N
-17.81225,21.1942,304.2,0.47,0.4,2019-04-07,00:00,N,nominal,1.0NRT,282.2,0.6,N
-16.09663,21.84184,296.5,0.48,0.4,2019-04-07,00:00,N,nominal,1.0NRT,275.1,0.7,N
-14.73713,16.58157,308.5,0.41,0.37,2019-04-07,00:00,N,nominal,1.0NRT,283.8,1.1,N
-15.6742,27.93557,301.5,0.38,0.59,2019-04-07,00:00,N,nominal,1.0NRT,286.7,1.5,N
-15.66915,27.93985,300.7,0.38,0.59,2019-04-07,00:00,N,nominal,1.0NRT,286.9,1.5,N
-15.66833,27.93263,312.4,0.38,0.59,2019-04-07,00:00,N,nominal,1.0NRT,287.7,3.9,N
-15.66874,27.93624,322.1,0.38,0.59,2019-04-07,00:00,N,nominal,1.0NRT,287.7,1.5,N
-15.57815,27.57109,296.6,0.36,0.57,2019-04-07,00:00,N,nominal,1.0NRT,284.1,0.5,N
-15.54558,27.4726,309.1,0.35,0.57,2019-04-07,00:00,N,nominal,1.0NRT,285.2,2.1,N
-15.54141,27.48332,307.5,0.35,0.57,2019-04-07,00:00,N,nominal,1.0NRT,285.7,1.4,N
-15.54104,27.47997,306.8,0.35,0.57,2019-04-07,00:00,N,nominal,1.0NRT,285.2,1.4,N
-15.54067,27.47662,329.7,0.35,0.57,2019-04-07,00:00,N,nominal,1.0NRT,286.5,2.1,N
-15.5403,27.47328,320.2,0.35,0.57,2019-04-07,00:00,N,nominal,1.0NRT,286.5,2.1,N
